"s_suppkey","s_name","s_address","s_nationkey","s_phone","s_acctbal","s_comment"
1,"Supplier#000000001","sdrGnXCDRcfriBvY0KL,ipCanOTyK t NN1",17,"27-918-335-1736",5755.94,"each slyly above the careful"
2,"Supplier#000000002","TRMhVHz3XiFuhapxucPo1",5,"15-679-861-2259",4032.68," slyly bold instructions. idle dependen"
3,"Supplier#000000003","BZ0kXcHUcHjx62L7CjZSql7gbWQ6RPn5X",1,"11-383-516-1199",4192.40,"blithely silent requests after the express dependencies are sl"
4,"Supplier#000000004","qGTQJXogS83a7MBnEweGHKevK",15,"25-843-787-7479",4641.08,"riously even requests above the exp"
5,"Supplier#000000005","lONEYAh9sFWAF75tO",11,"21-151-690-3663",-283.84,". slyly regular pinto bea"
6,"Supplier#000000006","zaux5FTzToEg",14,"24-696-997-4969",1365.79,"final accounts. regular dolphins use against the furiously ironic decoys. "
7,"Supplier#000000007"," 0W7IPdkpWycUbQ9Adp6B",23,"33-990-965-2201",6820.35,"s unwind silently furiously regular courts. final requests are deposits. requests wake quietly blit"
8,"Supplier#000000008","S8AWPqjYlanEQlcDO2WV 97uCVtxCk",17,"27-498-742-3860",7627.85,"al pinto beans. asymptotes haggl"
9,"Supplier#000000009",",gJ6K2MKveYxQTN 2EMG3pzg",10,"20-403-398-8662",5302.37,"s. unusual, even requests along the furiously regular pac"
10,"Supplier#000000010","9QtKQKXK24fBTYIsb2",24,"34-852-489-8585",3891.91,"ing waters. regular requests ar"
